gene_symbol,log2fc,pval,padj
TCEAL2,3.4500976,1.900856961772526e-52,6.281453711322925e-51
SBSPON,5.6115575,1.9818258107748714e-52,6.538030048901933e-51
DYNLRB1,0.80810165,2.9689968808026634e-52,9.77829424963852e-51
PHPT1,0.87741494,3.007159249133784e-52,9.887418922486365e-51
CALM1,0.50517505,3.2891062205857104e-51,1.0654103214029034e-49
ARL3,1.506766,4.1145212708507326e-51,1.33058745439913e-49
LRP10,1.1145806,4.468264913619399e-51,1.4426112435399774e-49
RERGL,5.746957,7.920916341161542e-51,2.5489534713570905e-49
EPS8,1.8114941,1.3892530670116476e-50,4.427146483562887e-49
NUDT4,1.5021707,4.2241567801807386e-50,1.3396027518050594e-48
NDUFB4,0.67762244,3.2134590103323906e-49,1.006099220719036e-47
CYR61,0.73007005,4.408567007680251e-49,1.3780801988077756e-47
CSDE1,0.74036074,5.476074887596551e-49,1.7063484063379302e-47
GSN,0.6140286,5.830051303955014e-49,1.8137732395310678e-47
TES,1.6361502,1.5740560138155592e-48,4.881559833381944e-47
DAPK3,1.9743888,2.0087954813018195e-48,6.2199900398986415e-47
ARPC1A,1.3328485,2.06413162178257e-48,6.381282381680644e-47
PSMC3,1.0267448,3.6518341675099346e-48,1.125428893441698e-46
ARHGAP10,2.1389225,4.4261053413351223e-48,1.3576612047009544e-46
GPRC5C,3.7516737,8.592944420060072e-48,2.6194491967011027e-46
ARL2,0.9329839,1.5546905390521888e-47,4.731938913133768e-46
COX20,1.1894977,3.888659568869173e-47,1.172681356489351e-45
TIMP3,0.6969122,4.161954396192628e-47,1.2531753037969288e-45
SNRPN,1.0485345,6.229444966356835e-47,1.872834050894619e-45
NFIC,1.0053192,8.468670884694357e-47,2.5382775447387263e-45
MOB2,1.6513968,9.672166748089453e-47,2.894583601231885e-45
PACSIN2,1.9377301,1.2863318264470516e-46,3.837914472170247e-45
SUMO2,0.49507675,1.927178043221862e-46,5.741238588761856e-45
UACA,1.6904331,3.310188497372983e-46,9.831559854282113e-45
NTRK3,4.9286757,7.242847268307757e-46,2.1414866614957462e-44
DYNLT3,1.1869558,1.9693889506417457e-45,5.788060619957849e-44
DAAM1,1.5157459,4.147258481258833e-45,1.2170656157986743e-43
SYNM,3.904783,5.407510654195305e-45,1.582179679803394e-43
ST13,0.71104234,5.442690173871457e-45,1.5901066002772747e-43
GNG12,1.8744607,6.759654015600245e-45,1.9719334904262913e-43
FHL5,6.4290032,7.84387640468181e-45,2.284834042501537e-43
EDF1,0.4922061,8.425234701182443e-45,2.450546815009604e-43
RAB2A,0.7682922,8.880506442307244e-45,2.5791509256816107e-43
SEC62,0.5863747,9.892591608822284e-45,2.8604137678332906e-43
COL3A1,1.556133,1.3021155372358627e-44,3.759500101781429e-43
EFEMP2,1.2577262,1.6646125483524727e-44,4.799063332215003e-43
SULF1,2.3489897,2.3495360832672866e-44,6.763774300029486e-43
CIRBP,0.4312642,2.7600438081760635e-44,7.910784454279556e-43
DIXDC1,2.209368,3.624046629415405e-44,1.0372053104449155e-42
EMILIN1,2.0835562,7.13802371462537e-44,2.039939277281454e-42
SERPINE1,2.5187504,7.691690911351553e-44,2.1949786168213968e-42
USMG5,1.1174707,8.39717700218493e-44,2.3928303509704363e-42
PLPP1,1.1970358,1.0695218248613062e-43,3.038863890234538e-42
AKAP12,0.92691845,1.1401507334089222e-43,3.234869223706527e-42
TRIP6,1.6185311,1.6908973450971842e-43,4.776784999899546e-42
PPIC,1.1246006,3.70280186383096e-43,1.0385804600091917e-41
ANAPC11,0.72093517,3.759956271457031e-43,1.053109119791854e-41
NFIB,1.0080577,4.6278896236627196e-43,1.2943608219126087e-41
NR2F2,2.2879415,5.450807779333401e-43,1.5201954972660047e-41
MAP1LC3A,1.4270821,6.13609861015769e-43,1.7088947715711118e-41
FSTL1,0.7254554,1.1066967335401958e-42,3.0777752722584624e-41
NDUFB8,0.65321606,2.223579202779848e-42,6.166433608611759e-41
FIS1,0.7244804,2.521640099935661e-42,6.963551635524574e-41
ALDOA,0.9074426,3.4586953271870966e-42,9.537849582489858e-41
UBL5,0.51083577,3.709458390215558e-42,1.0215037936753265e-40
KCNAB1,5.071401,3.730841585634958e-42,1.0259553462483155e-40
CAPZA2,0.7007569,7.005353822525101e-42,1.9210497469803147e-40
YAP1,2.6831207,1.2140994910759685e-41,3.3155033602132906e-40
ERH,0.6838288,1.354795771347256e-41,3.6894729163753114e-40
PDLIM2,1.1358621,1.4279155041760579e-41,3.877855613689178e-40
JAG1,2.7107294,1.5704300770021588e-41,4.259006368829855e-40
GABARAPL2,0.6328945,2.729794961642265e-41,7.393006685373308e-40
SGCB,1.7949255,4.479698469473739e-41,1.2065730315998994e-39
PSMB5,0.8543478,4.547449321652742e-41,1.22314567116739e-39
MRGPRF,2.1156056,5.791279942683138e-41,1.55345356388862e-39
OAZ2,1.0584394,7.468943305130319e-41,2.0007406439437647e-39
MXI1,1.9569393,9.029803647286307e-41,2.4155646165026307e-39
SLC25A3,0.5575816,1.371619317153816e-40,3.6592644523579825e-39
PDGFA,3.0264416,1.793985136693382e-40,4.7795847910115554e-39
ZEB1,1.5302445,2.9380089801872805e-40,7.806369266005718e-39
CAMK2G,2.392524,3.0738881928080673e-40,8.145389440295448e-39
SSB,0.7461421,5.985991188470367e-40,1.5819429939207575e-38
RAC1,0.63545185,9.255365509151756e-40,2.436131146465085e-38
TOMM7,0.30679223,1.6626024416171783e-39,4.3644978914655485e-38
CALU,0.9700923,2.1629868729741088e-39,5.655405305374591e-38
CHCHD2,0.413819,2.470947572210906e-39,6.452028043135569e-38
SRP9,0.7494399,2.642743090122397e-39,6.891460827319174e-38
FOXC1,2.382761,3.3862794741631877e-39,8.807014156216481e-38
LRRC17,2.613457,3.72451924589776e-39,9.673909829965885e-38
COL1A1,1.4491898,4.526755789739972e-39,1.1742093975971944e-37
CYSTM1,0.88189685,1.7602458965475613e-38,4.536036018075774e-37
ITGA5,1.4429957,2.6817225828253944e-38,6.89255286581868e-37
MRAP2,5.207696,3.716442113366974e-38,9.527077553197059e-37
THSD4,3.8794737,6.340254075482072e-38,1.6147937258047733e-36
PBXIP1,1.0401828,8.600336501959375e-38,2.1875784773806627e-36
