gene_symbol,log2fc,pval,padj
LINC01420,0.4242822,0.0008646650171163134,0.004963808340595899
POLR2E,0.26354504,0.0008681174350427435,0.004982173090429195
SRSF1,0.36144722,0.0008860108064446819,0.0050804154203310985
ZMAT3,0.88730866,0.00089818890070858,0.005147242834663976
MKKS,0.5542388,0.0008996699334204224,0.005154227922760007
SRP68,0.5488118,0.0009238802161612788,0.005288306494952857
ZNF22,0.34630275,0.0009303804953603022,0.005322415274883405
MLEC,0.43407053,0.0009310255163568126,0.0053245560507875645
ADAMTS9,0.39753237,0.0009383450724803563,0.005364856299828079
KLHDC8B,0.67440593,0.0009392810047412633,0.005368646254425209
MDK,1.0798895,0.0009474254077739924,0.005410478759120604
MRPL27,0.2964816,0.0009606248335383498,0.005484264075792983
MMGT1,0.8671356,0.0009640168238746852,0.005502031579397405
SGCG,4.4145875,0.000989685780580377,0.005640348352977209
HOOK3,0.38984504,0.0010003843467824393,0.00569796084988012
REEP5,0.19513184,0.0010009539607103008,0.00569796084988012
NME7,0.89745414,0.0010074498848010815,0.005733279199698658
SMIM10L1,0.5668455,0.0010172271779136626,0.005785571527954422
EPPK1,4.157985,0.001018936977733127,0.005793620259163893
MRPL42,0.43044314,0.0010220394408828176,0.005808598135992947
SYTL2,1.2404705,0.0010280080475875164,0.00583675836894766
KDELR1,0.18905027,0.0010380238536744706,0.005890223668383101
MYOF,0.592105,0.0010406868236337288,0.005903630792350368
RMND5B,0.9565908,0.0010628158627891107,0.006023950848705534
HABP4,1.7337282,0.0010646019824913102,0.006032335498485343
CMPK1,0.24392922,0.0010681659016047406,0.006049043190481685
CDK2AP2,0.33148214,0.0010732062696231057,0.006075836934445582
TRMT11,0.8606406,0.0010749750314367158,0.006084098753053743
RIC8A,0.51955706,0.001076131482209353,0.006088891281496489
ANP32E,0.37914982,0.0010869693678000484,0.00614314219881706
ATP6V1D,0.31770626,0.0011087130122905743,0.006260630455961307
C16orf13,0.630464,0.0011156741017382074,0.006296321523644269
AASS,1.0023819,0.0011225360855342248,0.006333229415717053
DDX17,0.28819704,0.0011318710383965687,0.006382074472550454
MRPL55,0.24424435,0.001132322087820809,0.006382074472550454
PPP1R7,0.2621033,0.0011359364695521044,0.006399651250525351
ZNF302,0.84242684,0.00114843943788181,0.006466384944911841
TRAPPC2L,0.27352622,0.0011570166106412254,0.006509087438749005
GSTT2B,1.3685029,0.0011576323799224579,0.006510688745433458
SLC14A1,2.919875,0.0011718910331988876,0.006587113063109356
YIPF3,0.32252523,0.0011912389864160444,0.006688218432584884
NDUFAF3,0.15929188,0.0012171926932973349,0.006822247074005758
SHARPIN,0.45913133,0.0012243902752838386,0.006854772663049782
CYTH3,1.5310858,0.0012322415037470465,0.006896764146505673
PEAR1,2.2933304,0.0012345684807341674,0.006907821704096528
SPCS1,0.20762134,0.001248891550121986,0.006983989095136089
FAIM,0.9519063,0.0012532987318554947,0.007006641929412209
TIMM17B,0.42293313,0.0012562426764462236,0.0070191086968700335
ACTR1A,0.36231714,0.0012692798526016574,0.007085911545103289
CNKSR3,1.3699216,0.0012732374937154491,0.007103971510054813
SLC25A26,0.5254261,0.0012754265697082752,0.007114166585419605
CH17-189H20.1,0.91098243,0.0012894596752479764,0.00718225386252853
MRPL49,0.7522138,0.0012915686207625521,0.007191963245945426
YTHDC1,0.4033548,0.0012960615344229174,0.007213080785325121
RNF14,0.74107414,0.0013067014655766239,0.007267995534983756
ITGA11,1.636784,0.0013435187970054219,0.0074643307676520495
AL355974.2,5.633714,0.0013664703175889528,0.007589700391083048
COPB2,0.444439,0.0013844902018632327,0.007687615461461419
KIAA1191,0.6972026,0.0013853157544164289,0.007690027770563474
C2CD2,1.8446501,0.0013952223348317647,0.007742834193469421
MMP24-AS1,0.51082987,0.0014127503247002395,0.007832021936409963
TMEM106B,0.4919407,0.0014175009153219369,0.007855384159261534
SESTD1,0.3259044,0.001418322961978705,0.007857725015053621
FAM219B,0.7755137,0.0014202644460899576,0.007866264658879083
HOTAIRM1,0.46930254,0.0014263718572848755,0.007895642865409691
